"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","IMS系统接口自动化测试","相机参数","0","0","8","0","0"
"","IMS系统接口自动化测试","基础公式配置
(系统联动类)","0","0","13","0","0"
"","IMS系统接口自动化测试","告警统计","0","0","3","0","0"
"","IMS系统接口自动化测试","运行数据","0","0","7","0","0"
"","IMS系统接口自动化测试","区域设备配置","0","0","7","0","0"
"","IMS系统接口自动化测试","树节点维护","0","0","11","0","0"
"","IMS系统接口自动化测试","网关配置","0","0","6","0","0"
"","IMS系统接口自动化测试","基础公式配置
(实时告警类)","0","0","9","0","0"
"","IMS系统接口自动化测试","告警查询","0","0","10","0","0"
"","IMS系统接口自动化测试","联动场景维护","0","0","18","0","0"
"","IMS系统接口自动化测试","全局搜索","0","0","9","0","0"
"","IMS系统接口自动化测试","运行状态","0","0","9","0","0"
"","IMS系统接口自动化测试","组地址维护","0","0","9","0","0"
"","IMS系统接口自动化测试","基础公式配置
(设备指标类)","0","0","8","0","0"
"","IMS系统接口自动化测试","报表管理","0","0","15","0","0"
"","IMS系统接口自动化测试","超时配置","0","0","2","0","0"
"","IMS系统接口自动化测试","越线量配置","0","0","2","0","0"
"","IMS系统接口自动化测试","综合监控分析","0","0","2","0","0"
